trade_id,symbol,open_date_time,volume,side,open_price,initial_stop_loss,take_profit,close_date_time,swap,commission,profit,close_reason,candle_patterns
M963704386456045,US500,2025-01-03T16:03:39,0.29,BUY,5919.13,5897.66,5974.5,,,-0.05,,,"['CDL_3OUTSIDE', 'CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU', 'CDL_DOJI_10_0.1', 'CDL_DOJISTAR', 'CDL_ENGULFING', 'CDL_HIGHWAVE', 'CDL_HIKKAKE', 'CDL_INSIDE', 'CDL_LONGLEGGEDDOJI', 'CDL_LONGLINE', 'CDL_RICKSHAWMAN', 'CDL_SHORTLINE', 'CDL_SPINNINGTOP']"
M963704386456068,USDCAD,2025-01-03T16:18:16,0.04,BUY,1.44513,1.44347,1.44943,2025-01-03T17:05:01.729,0.00,-0.1,-1.67,CLOSE_REASON_STOP_LOSS,"['CDL_ADVANCEBLOCK', 'CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU', 'CDL_INVERTEDHAMMER', 'CDL_LONGLINE', 'CDL_MARUBOZU']"
M963704386456105,USDJPY,2025-01-03T16:26:27,0.05,BUY,157.4,157.3,157.7,2025-01-03T16:36:00.852,0.00,-0.13,-3.76,CLOSE_REASON_STOP_LOSS,"['CDL_BELTHOLD', 'CDL_HAMMER', 'CDL_HARAMI', 'CDL_LONGLINE', 'CDL_SHORTLINE']"
M963704386456379,USDCAD,2025-01-03T18:52:04,0.04,BUY,1.44626,1.44474,1.45016,2025-01-03T19:35:29.501,0.00,-0.1,-3.85,CLOSE_REASON_STOP_LOSS,"['CDL_CLOSINGMARUBOZU', 'CDL_HAMMER', 'CDL_SHORTLINE']"
M963704386456434,BTCUSDC,2025-01-03T19:55:37,0.02,BUY,98567.6,98277.6,99388.6,,,0.0,,,"['CDL_CLOSINGMARUBOZU', 'CDL_DOJI_10_0.1', 'CDL_GRAVESTONEDOJI', 'CDL_HAMMER', 'CDL_HARAMI', 'CDL_HARAMICROSS', 'CDL_HIGHWAVE', 'CDL_HOMINGPIGEON', 'CDL_INSIDE', 'CDL_INVERTEDHAMMER', 'CDL_LONGLEGGEDDOJI', 'CDL_SHORTLINE', 'CDL_SPINNINGTOP']"
M963704386456506,BTCUSDC,2025-01-04T01:46:19,0.04,SELL,97972.4,98158.0,97490.8,2025-01-04T02:38:41.825,0.00,0.0,-7.60,CLOSE_REASON_STOP_LOSS,"['CDL_CLOSINGMARUBOZU', 'CDL_DOJI_10_0.1', 'CDL_DRAGONFLYDOJI', 'CDL_HANGINGMAN', 'CDL_HARAMI', 'CDL_HARAMICROSS', 'CDL_HIGHWAVE', 'CDL_INSIDE', 'CDL_LONGLEGGEDDOJI', 'CDL_RICKSHAWMAN', 'CDL_SHORTLINE', 'CDL_SPINNINGTOP', 'CDL_TAKURI']"
M963704386456544,ETHUSDC,2025-01-04T07:36:10,0.63,BUY,3604.51,3591.24,3628.56,2025-01-04T07:55:20.692,0.00,0.0,-8.54,CLOSE_REASON_STOP_LOSS,"['CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU', 'CDL_DOJI_10_0.1', 'CDL_HIKKAKE', 'CDL_INSIDE', 'CDL_LONGLINE', 'CDL_MARUBOZU', 'CDL_SHORTLINE']"
M963704386456548,ETHUSDC,2025-01-04T08:10:15,0.9,BUY,3601.62,3591.24,3617.54,2025-01-04T08:24:38.899,0.00,0.0,-9.62,CLOSE_REASON_STOP_LOSS,"['CDL_3OUTSIDE', 'CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU', 'CDL_ENGULFING', 'CDL_HARAMI', 'CDL_INSIDE', 'CDL_LONGLINE', 'CDL_SHORTLINE']"
M963704386456551,BTCUSDC,2025-01-04T08:30:39,0.05,BUY,98178.8,98012.8,98512.9,2025-01-04T08:51:24.498,0.00,0.0,-10.10,CLOSE_REASON_STOP_LOSS,"['CDL_3OUTSIDE', 'CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU', 'CDL_DOJI_10_0.1', 'CDL_DOJISTAR', 'CDL_DRAGONFLYDOJI', 'CDL_HANGINGMAN', 'CDL_HIKKAKE', 'CDL_INSIDE', 'CDL_LONGLEGGEDDOJI', 'CDL_LONGLINE', 'CDL_MARUBOZU', 'CDL_SHORTLINE', 'CDL_TAKURI']"
M963704386456661,BTCUSDC,2025-01-04T19:15:17,0.02,BUY,98187.0,97852.1,99020.2,2025-01-04T20:56:05.543,0.00,0.0,7.38,CLOSE_REASON_USER,"['CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU', 'CDL_DOJI_10_0.1', 'CDL_DRAGONFLYDOJI', 'CDL_ENGULFING', 'CDL_HANGINGMAN', 'CDL_HARAMI', 'CDL_HARAMICROSS', 'CDL_INSIDE', 'CDL_LONGLEGGEDDOJI', 'CDL_LONGLINE', 'CDL_MARUBOZU', 'CDL_SPINNINGTOP', 'CDL_TAKURI']"
